Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
Q6UXT9	ABHD15		
O95870	ABHD16A		
Q96GS6	ABHD17A		
Q5VST6	ABHD17B		
Q8WU67	ABHD3		
Q8TB40	ABHD4		
Q8WTS1	ABHD5	DISEASE: Chanarin-Dorfman syndrome (CDS) [MIM:275630]: An autosomal recessive inborn error of lipid metabolism with multisystemic accumulation of triglycerides although plasma concentrations are normal. Clinical characteristics are congenital generalized ichthyosis, vacuolated leukocytes, hepatomegaly, myopathy, cataracts, neurosensory hearing loss and developmental delay. The disorder presents at birth with generalized, fine, white scaling of the skin and a variable degree of erythema resembling non-bullous congenital ichthyosiform erythroderma. {ECO:0000269|PubMed:11590543, ECO:0000269|PubMed:17495960}. Note=The disease is caused by mutations affecting the gene represented in this entry.	98907;
Q9BV23	ABHD6		
Q96I13	ABHD8		
Q8IZP0	ABI1	DISEASE: Note=A chromosomal aberration involving ABI1 is a cause of acute leukemias. Translocation t(10;11)(p11.2;q23) with KMT2A/MLL1. ABI1 isoform 2 was found to be present in acute leukemia KMT2A/MLL1-ABI1 fusion transcript. {ECO:0000269|PubMed:9694699}.	
Q9NYB9	ABI2		
Q9P2A4	ABI3		
P00519	ABL1	DISEASE: Leukemia, chronic myeloid (CML) [MIM:608232]: A clonal myeloproliferative disorder of a pluripotent stem cell with a specific cytogenetic abnormality, the Philadelphia chromosome (Ph), involving myeloid, erythroid, megakaryocytic, B-lymphoid, and sometimes T-lymphoid cells, but not marrow fibroblasts. Note=The gene represented in this entry is involved in disease pathogenesis.; DISEASE: Note=A chromosomal aberration involving ABL1 has been found in patients with chronic myeloid leukemia. Translocation t(9;22)(q34;q11) with BCR. The translocation produces a BCR-ABL found also in acute myeloid leukemia (AML) and acute lymphoblastic leukemia (ALL).	521;99860;99861;
P42684	ABL2		
O14639	ABLIM1		
O94929	ABLIM3		
P16442	ABO		
Q12979	ABR		
Q8N0Z2	ABRA		
Q9ULW3	ABT1		
Q969K4	ABTB1		
Q8N961	ABTB2		
P09110	ACAA1		
P42765	ACAA2		
Q13085	ACACA	DISEASE: Acetyl-CoA carboxylase 1 deficiency (ACACAD) [MIM:613933]: An inborn error of de novo fatty acid synthesis associated with severe brain damage, persistent myopathy and poor growth. {ECO:0000269|PubMed:6114432}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
O00763	ACACB		
Q6JQN1	ACAD10		
Q709F0	ACAD11		
Q9UKU7	ACAD8	DISEASE: Isobutyryl-CoA dehydrogenase deficiency (IBDD) [MIM:611283]: The symptoms of IBDD generally appear until late in infancy or in childhood and can include poor feeding and growth (failure to thrive), a weakened and enlarged heart (dilated cardiomyopathy), seizures, and low numbers of red blood cells (anemia). {ECO:0000269|PubMed:12359132, ECO:0000269|PubMed:15505379, ECO:0000269|PubMed:16857760}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79159;
Q9H845	ACAD9	DISEASE: Acyl-CoA dehydrogenase family, member 9, deficiency (ACAD9 deficiency) [MIM:611126]: An autosomal recessive metabolic disorder associated with mitochondrial complex I deficiency, resulting in multisystemic and variable manifestations. Clinical features include infantile onset of acute metabolic acidosis, Reye-like episodes (brain edema and vomiting that may rapidly progress to seizures, coma and death), exercise intolerance, hypertrophic cardiomyopathy, liver failure, muscle weakness, and neurologic dysfunction. {ECO:0000269|PubMed:17564966, ECO:0000269|PubMed:20816094, ECO:0000269|PubMed:20929961, ECO:0000269|PubMed:21057504, ECO:0000269|PubMed:22499348, ECO:0000269|PubMed:23836383, ECO:0000269|PubMed:23996478, ECO:0000269|PubMed:26741492}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99901;2609;
P28330	ACADL	DISEASE: Acyl-CoA dehydrogenase very long-chain deficiency (ACADVLD) [MIM:201475]: An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy; a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy; an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting. Note=The disease is caused by mutations affecting the gene represented in this entry.	99900;
P11310	ACADM	DISEASE: Acyl-CoA dehydrogenase medium-chain deficiency (ACADMD) [MIM:201450]: An inborn error of mitochondrial fatty acid beta-oxidation which causes fasting hypoglycemia, hepatic dysfunction and encephalopathy, often resulting in death in infancy. {ECO:0000269|PubMed:10767181, ECO:0000269|PubMed:11349232, ECO:0000269|PubMed:11409868, ECO:0000269|PubMed:11486912, ECO:0000269|PubMed:1671131, ECO:0000269|PubMed:1684086, ECO:0000269|PubMed:1902818, ECO:0000269|PubMed:2251268, ECO:0000269|PubMed:2393404, ECO:0000269|PubMed:2394825, ECO:0000269|PubMed:7603790, ECO:0000269|PubMed:7929823, ECO:0000269|PubMed:8198141, ECO:0000269|PubMed:9158144}. Note=The disease is caused by mutations affecting the gene represented in this entry.	42;
P16219	ACADS	DISEASE: Acyl-CoA dehydrogenase short-chain deficiency (ACADSD) [MIM:201470]: An inborn error of mitochondrial fatty acid beta-oxidation resulting in acute acidosis and muscle weakness in infants, and a form of lipid-storage myopathy in adults. {ECO:0000269|PubMed:11134486, ECO:0000269|PubMed:1692038, ECO:0000269|PubMed:9499414}. Note=The disease is caused by mutations affecting the gene represented in this entry.	26792;
P45954	ACADSB	DISEASE: Short/branched-chain acyl-CoA dehydrogenase deficiency (SBCADD) [MIM:610006]: Autosomal recessive disorder and consists of a defect in catabolism of L-isoleucine which is characterized by an increase of 2-methylbutyrylglycine and 2-methylbutyrylcarnitine in blood and urine. Affected individuals have seizures and psychomotor delay as the main clinical features. {ECO:0000269|PubMed:10832746, ECO:0000269|PubMed:16317551}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79157;
P49748	ACADVL	DISEASE: Acyl-CoA dehydrogenase very long-chain deficiency (ACADVLD) [MIM:201475]: An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy; a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy; an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting. {ECO:0000269|PubMed:10077518, ECO:0000269|PubMed:8554073, ECO:0000269|PubMed:9546340}. Note=The disease is caused by mutations affecting the gene represented in this entry.	26793;
P16112	ACAN	DISEASE: Spondyloepiphyseal dysplasia type Kimberley (SEDK) [MIM:608361]: Spondyloepiphyseal dysplasias are a heterogeneous group of congenital chondrodysplasias that specifically affect epiphyses and vertebrae. The autosomal dominant SEDK is associated with premature degenerative arthropathy. {ECO:0000269|PubMed:16080123}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Spondyloepimetaphyseal dysplasia aggrecan type (SEMD-ACAN) [MIM:612813]: A bone disease characterized by severe short stature, macrocephaly, severe midface hypoplasia, short neck, barrel chest and brachydactyly. The radiological findings comprise long bones with generalized irregular epiphyses with widened metaphyses, especially at the knees, platyspondyly, and multiple cervical-vertebral clefts. {ECO:0000269|PubMed:19110214}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Osteochondritis dissecans short stature and early-onset osteoarthritis (OD) [MIM:165800]: A type of osteochondritis defined as a separation of cartilage and subchondral bone from the surrounding tissue, primarily affecting the knee, ankle and elbow joints. It is clinically characterized by multiple osteochondritic lesions in knees and/or hips and/or elbows, disproportionate short stature and early-onset osteoarthritis. {ECO:0000269|PubMed:20137779}. Note=The disease is caused by mutations affecting the gene represented in this entry.	251262;171866;93283;
Q15027	ACAP1		
Q15057	ACAP2		
P24752	ACAT1	DISEASE: 3-ketothiolase deficiency (3KTD) [MIM:203750]: An inborn error of isoleucine catabolism characterized by intermittent ketoacidotic attacks associated with unconsciousness. Some patients die during an attack or are mentally retarded. Urinary excretion of 2-methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, triglylglycine, butanone is increased. It seems likely that the severity of this disease correlates better with the environmental or acquired factors than with the ACAT1 genotype. {ECO:0000269|PubMed:1346617, ECO:0000269|PubMed:1715688, ECO:0000269|PubMed:7728148, ECO:0000269|PubMed:9744475}. Note=The disease is caused by mutations affecting the gene represented in this entry.	134;
Q9BWD1	ACAT2		
Q9H3P7	ACBD3		
Q5T8D3	ACBD5		
Q96QU6	ACCS		
P12821	ACE	DISEASE: Ischemic stroke (ISCHSTR) [MIM:601367]: A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors. {ECO:0000269|PubMed:15534175}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Renal tubular dysgenesis (RTD) [MIM:267430]: Autosomal recessive severe disorder of renal tubular development characterized by persistent fetal anuria and perinatal death, probably due to pulmonary hypoplasia from early-onset oligohydramnios (the Potter phenotype). {ECO:0000269|PubMed:16116425}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Microvascular complications of diabetes 3 (MVCD3) [MIM:612624]: Pathological conditions that develop in numerous tissues and organs as a consequence of diabetes mellitus. They include diabetic retinopathy, diabetic nephropathy leading to end-stage renal disease, and diabetic neuropathy. Diabetic retinopathy remains the major cause of new-onset blindness among diabetic adults. It is characterized by vascular permeability and increased tissue ischemia and angiogenesis. {ECO:0000269|PubMed:10099885}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Intracerebral hemorrhage (ICH) [MIM:614519]: A pathological condition characterized by bleeding into one or both cerebral hemispheres including the basal ganglia and the cerebral cortex. It is often associated with hypertension and craniocerebral trauma. Intracerebral bleeding is a common cause of stroke. {ECO:0000269|PubMed:15277638}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	97369;
Q9BYF1	ACE2		
Q8TDN7	ACER1		
Q5QJU3	ACER2		
Q9NUN7	ACER3		
P22303	ACHE		
Q9UKV3	ACIN1		
Q16570	ACKR1		
P25106	ACKR3		
Q9NPB9	ACKR4		
P53396	ACLY		
Q8TDX5	ACMSD		
P21399	ACO1		
Q99798	ACO2	DISEASE: Infantile cerebellar-retinal degeneration (ICRD) [MIM:614559]: A severe autosomal recessive neurodegenerative disorder characterized by onset between ages 2 and 6 months of truncal hypotonia, athetosis, seizures, and ophthalmologic abnormalities, particularly optic atrophy and retinal degeneration. Affected individuals show profound psychomotor retardation, with only some achieving rolling, sitting, or recognition of family. Brain MRI shows progressive cerebral and cerebellar degeneration. {ECO:0000269|PubMed:22405087, ECO:0000269|PubMed:25351951}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Optic atrophy 9 (OPA9) [MIM:616289]: A condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. {ECO:0000269|PubMed:25351951}. Note=The disease is caused by mutations affecting the gene represented in this entry.	313850;
